2700:
 num     #instances         #bytes  class name (module)
 243:         11206         358592  net.minecraft.block.state.BlockStateContainer
 244:         22177         354832  com.google.gson.JsonObject
 245:         14744         353856  kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal
 246:         10919         349408  java.util.Random (java.base@25.0.4)
 247:         10877         348064  stanhebben.zenscript.type.natives.ZenNativeMember
 248:         21263         340208  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap$1
 249:          8470         338800  org.objectweb.asm.tree.InsnList
 250:          8449         337960  com.google.common.collect.RegularImmutableSortedSet
 251:          8231         329240  org.embeddedt.vintagefix.fastmap.FastMap
 252:          6844         328512  java.lang.invoke.LambdaForm$Name (java.base@25.0.4)
 253:          4954         317056  java.util.WeakHashMap (java.base@25.0.4)
 254:         12987         311688  net.minecraftforge.client.model.MultiModelState$MultiModelPart
 255:          7594         303760  hellfirepvp.astralsorcery.common.structure.array.BlockArray$BlockInformation
 256:          3732         298560  net.minecraftforge.common.config.ConfigCategory
 257:          4507         288448  org.spongepowered.asm.util.ClassSignature$Token
 258:          2172         286704  [Ljava.lang.ref.SoftReference; (java.base@25.0.4)
 259:          7116         284640  slimeknights.tconstruct.library.smeltery.CastingRecipe
 260:          7092         283680  net.minecraftforge.fml.common.eventhandler.ASMEventHandler
 261:          2067         281112  slimeknights.tconstruct.library.client.texture.MetalTextureTexture
 262:         11672         280128  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
 263:          3182         280016  it.unimi.dsi.fastutil.objects.Reference2ObjectOpenHashMap
 264:          5828         279744  com.cleanroommc.retrosophisticatedbackpacks.inventory.BackpackItemStackHandler
 265:          6958         278320  net.minecraft.client.renderer.block.model.BlockPartFace
 266:          6948         277920  lucraft.mods.heroesexpansion.client.models.TintedOBJModel$Vertex
 267:          4916         275296  net.minecraft.util.math.AxisAlignedBB
 268:         12731         272968  [Lstanhebben.zenscript.type.ZenType;
 269:          1206         270144  org.spongepowered.asm.mixin.transformer.MixinInfo$MixinClassNode
 270:          1091         269848  [[Lcom.hbm.world.gen.nbt.NBTStructure$BlockState;
 271:          4210         269440  kotlin.reflect.jvm.internal.impl.km.KmType
 272:          6621         264840  java.io.File (java.base@25.0.4)
 273:          8126         260032  net.minecraft.util.text.TextComponentString
 274:          6401         256040  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl (java.base@25.0.4)
 275:          3192         255360  lucraft.mods.lucraftcore.superpowers.abilities.Ability$AbilityMap
 276:          1486         249648  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
 277:          7752         248064  net.minecraft.client.renderer.block.model.ItemTransformVec3f
 278:          3435         247320  java.util.zip.Inflater (java.base@25.0.4)
 279:          7690         246080  forestry.core.models.SimpleRetexturedModel
 280:         10118         242832  net.minecraft.util.math.BlockPos
 281:          1585         240920  org.spongepowered.asm.mixin.transformer.MixinInfo
 282:          4248         237888  slimeknights.tconstruct.library.client.model.BakedSimpleItem
 283:          9904         237696  it.unimi.dsi.fastutil.ints.IntArrayList
 284:         14798         236768  java.util.HashMap$Values (java.base@25.0.4)
 285:          9794         235056  [Ljava.security.CodeSigner; (java.base@25.0.4)
 286:          2085         233520  xyz.phanta.tconevo.client.render.material.EdgeColourMaterialRenderInfo$EdgeColourTexture
 287:          5784         231360  java.math.BigInteger (java.base@25.0.4)
 288:          8704         230328  [Ljava.lang.reflect.Constructor; (java.base@25.0.4)
 289:          2352         225792  io.netty.channel.DefaultChannelHandlerContext
 290:          2346         225216  org.objectweb.asm.tree.FieldNode
 291:          7014         224448  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25.0.4)
 292:          1858         222960  kotlin.reflect.jvm.internal.impl.km.KmFunction
 293:          1206         221904  net.minecraft.tileentity.TileEntityChest
 294:          3364         215296  net.minecraft.item.crafting.ShapelessRecipes
 295:          3362         215168  com.google.common.cache.LocalCache$StrongAccessEntry
 296:         12922         206752  net.minecraftforge.client.model.MultiModelState
 297:          4228         202944  net.minecraft.world.storage.loot.LootEntryItem
 298:          6159         197088  net.minecraftforge.fluids.FluidStack
 299:          8180         196320  baubles.api.cap.BaublesCapabilityProvider
 300:          3061         195904  it.unimi.dsi.fastutil.ints.Int2ObjectArrayMap
 301:          1360         195840  java.util.jar.JarFile$JarFileEntry (java.base@25.0.4)
 302:          6106         195392  forestry.core.items.FluidHandlerItemForestry
 303:          2191         192808  java.util.HashMap$TreeNode (java.base@25.0.4)
 304:          5973         191136  com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet
 305:         11938         191008  com.google.gson.internal.LazilyParsedNumber
 306:           990         190080  com.google.common.cache.LocalCache
 307:          7871         188904  slimeknights.mantle.util.RecipeMatch$ItemCombination
 308:          4685         187400  com.google.common.cache.LocalCache$StrongEntry
 309:          5847         187104  net.minecraft.network.datasync.EntityDataManager$DataEntry
 310:          1934         185664  net.minecraftforge.fml.common.registry.EntityEntryBuilder
 311:          3313         185528  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Type$Argument
 312:          7729         185496  java.util.LinkedHashMap$LinkedValues (java.base@25.0.4)
