42392:
 num     #instances         #bytes  class name (module)
 337:           367          38168  com.rwtema.extrautils2.backend.model.XUBlockState
 338:           530          38160  net.irisshaders.iris.shaderpack.properties.ProgramDirectives
 339:           596          38144  sun.nio.fs.WindowsFileAttributes (java.base@25.0.4)
 340:           592          37888  com.cleanroommc.discovery.DiscoveredMod
 341:           469          37520  sun.security.x509.X500Name (java.base@25.0.4)
 342:           334          37408  com.hbm.items.special.ItemCustomLore
 343:          1555          37320  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@25.0.4)
 344:           932          37280  com.google.common.eventbus.Subscriber$SynchronizedSubscriber
 345:           931          37240  java.awt.Color (java.desktop@25.0.4)
 346:          1540          36960  net.minecraft.util.math.BlockPos
 347:           918          36720  net.minecraftforge.fml.common.network.simpleimpl.SimpleChannelHandlerWrapper
 348:            66          36432  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpmcAtomicArrayQueue
 349:            58          36304  [Lcom.llamalad7.mixinextras.lib.antlr.runtime.dfa.DFAState;
 350:          1508          36192  kotlin.reflect.jvm.internal.impl.name.FqName
 351:           743          35664  jdk.internal.loader.URLClassPath$JarLoader (java.base@25.0.4)
 352:          1107          35424  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@25.0.4)
 353:          1475          35400  it.unimi.dsi.fastutil.ints.IntArrayList
 354:           137          35072  net.minecraftforge.event.terraingen.DeferredBiomeDecorator
 355:           718          34464  net.irisshaders.iris.shaderpack.option.menu.OptionMenuStringOptionElement
 356:           477          34344  com.google.common.collect.LinkedHashMultimap$ValueEntry
 357:            33          34320  [Ljavassist.bytecode.ConstInfo;
 358:          1068          34176  io.netty.util.DefaultAttributeMap$DefaultAttribute
 359:           136          33728  net.minecraft.world.biome.BiomeDecorator
 360:           602          33712  java.io.RandomAccessFile (java.base@25.0.4)
 361:          1047          33504  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$Entry
 362:          1376          33024  net.minecraftforge.fml.common.eventhandler.EventBus$ContextSetterEventListener
 363:           678          32544  net.irisshaders.iris.shaderpack.option.StringOption
 364:          2030          32480  org.spongepowered.asm.util.Counter
 365:           270          32400  java.util.regex.Pattern (java.base@25.0.4)
 366:           397          31760  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$StringTableTypes$Record
 367:           985          31520  java.security.Provider$ServiceKey (java.base@25.0.4)
 368:           972          31104  net.minecraft.nbt.NBTTagCompound
 369:          1875          31048  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@25.0.4)
 370:           966          30912  java.util.PriorityQueue (java.base@25.0.4)
 371:          1284          30816  sun.reflect.generics.scope.MethodScope (java.base@25.0.4)
 372:          1284          30808  [Lsun.reflect.generics.tree.TypeSignature; (java.base@25.0.4)
 373:           941          30112  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedNotNullLazyValue
 374:           338          29744  sun.security.ssl.CipherSuite (java.base@25.0.4)
 375:           614          29472  java.io.FileDescriptor (java.base@25.0.4)
 376:           460          29440  java.lang.invoke.LambdaFormEditor$Transform (java.base@25.0.4)
 377:           228          29184  sun.security.x509.X509CertImpl (java.base@25.0.4)
 378:          1802          28832  java.util.WeakHashMap$KeySet (java.base@25.0.4)
 379:           720          28800  scala.collection.immutable.HashMap$HashMap1
 380:           276          28704  com.brandon3055.brandonscore.registry.ModConfigParser$PropertyHelper
 381:           591          28368  sun.reflect.generics.repository.ClassRepository (java.base@25.0.4)
 382:           272          28288  io.netty.channel.DefaultChannelPipeline$HeadContext
 383:           500          28000  github.kasuminova.stellarcore.shaded.org.jctools.maps.NonBlockingHashMap$CHM
 384:           249          27888  vazkii.arl.item.ItemModBlock
 385:           288          27648  com.hbm.items.ItemBase
